"AIRPORT","AIRPORT_ID","LATITUDE","LONGITUDE","Closest_Station"
"AMN",10288,43.321527775,-84.687361115,"USW00054816"
"AMW",10294,41.993055555,-93.620138885,"USW00094989"
"ANA",10297,33.81666667,-117.9333333,"USW00003166"
"ANB",10298,33.588500004,-85.857611114,"USW00013871"
"ANC",10299,61.1734722216667,-149.995046316667,"USW00026491"
"AND",10300,34.494027775,-82.70972222,"USW00093846"
"ANI",10304,61.58152778,-159.5441667,"USW00026516"
"ANN",10307,55.041277776,-131.57133332,"USW00025308"
"ANP",10309,38.94277778,-76.56861111,"USP180193-1"
"ANV",10313,62.6475,-160.18944445,"USW00026644"
"AOH",10317,40.70833333,-84.026805555,"USW00004850"
"AOO",10322,40.296805555,-78.32,"USW00014736"
"AOS",10324,57.45472222,-153.8130556,"USI0000PAKH"
"APA",10325,39.571166668,-104.84872222,"USW00093067"
"APC",10327,38.2129861125,-122.28034725,"USW00093227"
"APF",10329,26.152444444,-81.775611112,"USW00012897"
"APG",10330,39.4659259266667,-76.16898148,"USW00013701"
"APH",16767,38.0687037033333,-77.3187037033333,"USW00003706"
"APN",10333,45.079861115,-83.558055555,"USW00094849"
"APT",10336,35.06055556,-85.58527778,"USC00011099"
"APV",10337,34.5426851866667,-117.2038889,"USI0000KAPV"
"AQY",10344,60.967333334,-149.1228333,"USW00026437"
"AR1",10345,35.26101852,-93.09324074,"USW00053920"
"AR2",10346,35.08097222,-92.42472222,"USI0000KCXW"
"AR3",16738,36.3454629633333,-94.21944444,"USW00003978"
"AR4",16886,35.11999999,-90.82638889,"USC00038052"
"ARA",10347,30.0376851866667,-91.88388889,"USW00003934"
"ARB",10348,42.2229629666667,-83.7452777766667,"USW00094889"
"ARC",10349,68.12611111,-145.5519444,"USW00046405"
"ARE",10351,18.450388888,-66.675500002,"RQL000AROP4"
"ARG",10352,36.12486111,-90.925694445,"USW00093991"
"ART",10361,43.991722218,-76.020277778,"USW00094790"
"ARV",10363,45.92805556,-89.73083333,"USW00004865"
"ARX",10365,40.18333333,-74.11666667,"USW00004783"
"ASE",10372,39.222833334,-106.86866666,"USW00093073"
"ASH",10374,42.78101852,-71.5127777766667,"USW00054754"
"ASL",10378,32.521111115,-94.30791667,"USW00000431"
"ASN",10380,33.56958333,-86.05097222,"USI0000KASN"
"ASQ",10383,39.468222226,-117.19633334,"USI0000KTMT"
"AST",10385,46.15888889,-123.87930555,"USW00094224"
"ASX",10388,46.54861111,-90.91875,"USW00094929"
"ASY",10389,46.0237500016667,-99.3525000016667,"USC00320382"
"ATE",10393,34.1928472225,-95.64986111,"USW00000172"
"ATK",10396,70.467277776,-157.43894444,"USW00027518"
"ATL",10397,33.6384523814286,-84.4276190485714,"USW00013874"
"ATO",10400,39.211722218,-82.22966667,"USW00000131"
"ATS",10404,32.85148148,-104.4674537,"USW00003035"
"ATT",10405,60.8675,-162.27316666,"USI0000PPIT"
"ATU",10406,52.829166665,173.1741667,"USA00749393"
"ATW",10408,44.258000004,-88.519333336,"USW00004825"
"ATY",10409,44.9105555566667,-97.1543518533333,"USW00014946"
"AUG",10414,44.31930556,-69.796944445,"USW00014605"
