"AIRPORT","AIRPORT_ID","LATITUDE","LONGITUDE","Closest_Station","Closest_Distance"
"HIB",12129,47.3879629633333,-92.8387037033333,"USW00094931",0.971695978933829
"HLN",12156,46.606777778,-111.982833332,"USW00024144",0.553587310500759
"HNL",12173,21.318111112,-157.921166668,"USI0000PHIK",0.609816626273604
"HOB",12177,32.687722222,-103.217055552,"USW00093034",0.752608205250915
"HOU",12191,29.6454629633333,-95.27824074,"USW00012918",0.384452502137164
"HPN",12197,41.067916665,-73.70763889,"USW00094745",0.69123238953191
"HRL",12206,26.227944444,-97.654333332,"USW00012904",0.29080597768516
"HSV",12217,34.64,-86.77527778,"USW00003856",1.0946624847962
"HTS",12223,38.367611108,-82.558777778,"USW00003860",0.438668903105494
"HVN",12244,41.2641666675,-72.887430555,"USW00014758",0.604014321908069
"HYS",12255,38.844166665,-99.273611115,"USW00003968",0.88257863918177
"IAD",12264,38.944583335,-77.45875,"USW00093738",1.48513702730755
"IAG",12265,43.107333332,-78.945888888,"USW00004724",0.641372959954248
"IAH",12266,29.9837037,-95.3404629633333,"USW00012960",1.96025274667267
"ICT",12278,37.65,-97.433000004,"USW00003928",1.01488800701218
"IDA",12280,43.51486111,-112.067777775,"USW00024145",0.638528413120985
"IFP",10590,35.157111108,-114.560611108,"USW00053135",0.110544946194276
"ILG",12320,39.67847222,-75.607083335,"USW00013781",0.470268822049157
"ILM",12323,34.270055556,-77.90288889,"USW00013748",0.457921442479865
"IMT",12335,45.816944445,-88.114305555,"USW00094893",0.41587478176627
"IND",12339,39.7243055575,-86.2860416675,"USW00093819",1.93214833396222
"INL",12343,48.56505556,-93.40261111,"USW00014918",0.813434205366341
"INR",11013,46.24222222,-84.46611111,"USW00004869",0.866034442760343
"IPT",12365,41.2409722225,-76.925,"USW00014778",0.363467163442802
"ISN",12389,48.177083335,-103.639166665,"USW00094014",0.398433526374371
"ISP",12391,40.79601852,-73.1005555566667,"USW00004781",0.261345285406934
"ITH",12397,42.49101852,-76.4584259266667,"USW00094761",1.09403791205178
"ITO",12402,19.7225,-155.054814816667,"USW00021504",0.719694140615479
"JAC",12441,43.606944445,-110.73736111,"USW00024166",0.838570886278715
"JAN",12448,32.3107142842857,-90.07583333,"USW00003940",1.01611461178013
"JAX",12451,30.489444445,-81.68777778,"USW00013889",1.45241249849393
"JFK",12478,40.63961111,-73.778388888,"USW00094789",1.22338803858224
"JHM",12492,20.964583335,-156.67513889,"USW00022552",0.232259523993152
"JLN",12511,37.1515740733333,-94.4983333333333,"USW00013987",0.277697177648916
"JMS",12519,46.92986111,-98.678194445,"USW00014919",0.750531745202705
"JNU",12523,58.3549537033333,-134.57648148,"USW00025309",1.19481193393445
"JQF",12544,35.38652778,-80.709444445,"USW00063801",0.407208386043557
"JST",12559,40.316000002,-78.834333332,"USW00004726",0.319545771660769
"KOA",12758,19.73888889,-156.04555556,"USW00021510",0.292538249521953
"KTN",12819,55.35625,-131.71388889,"USW00025325",0.56982413206649
"LAN",12884,42.7789814833333,-84.58759259,"USW00014836",1.03881310567457
"LAR",12888,41.312777775,-105.67402778,"USW00024022",0.415621159893133
"LAS",12889,36.079930555,-115.1538888875,"USW00023169",1.22993525060492
"LAW",12891,34.56875,-98.41638889,"USW00003950",1.21984765395273
"LAX",12892,33.9425347225,-118.40781250125,"USW00023174",2.00907439979456
"LBB",12896,33.6634126971429,-101.821984128571,"USW00023042",1.25237805475663
"LBE",12898,40.2747222233333,-79.4065740766667,"USW00054735",1.10487960885314
"LBF",12899,41.12722222,-100.69013889,"USW00024023",1.87484557049782
"LBL",12902,37.044111112,-100.96,"USW00023020",0.884508185434729
"LCH",12915,30.1287962966667,-93.22564815,"USI0000KLCH",0.37535060540669
"LCK",12917,39.81388889,-82.92925926,"USW00013812",0.465634150446783
